Kısım,Sınıf,Sınıf açıklama,Yıl,Girişim sayısı,CR4,CR8,HHI 
"C - İmalat
      Manufacturing",1031,Patatesin işlenmesi ve saklanması,2009,21,93.38929225,99.45248655,0.529560604
"C - İmalat
      Manufacturing",1031,Patatesin işlenmesi ve saklanması,2010,22,91.23326512,98.10923826,0.487061121
"C - İmalat
      Manufacturing",1031,Patatesin işlenmesi ve saklanması,2011,25,90.08226791,96.88963364,0.392758737
"C - İmalat
      Manufacturing",1031,Patatesin işlenmesi ve saklanması,2012,26,88.1727876,97.95422919,0.387518049
"C - İmalat
      Manufacturing",1031,Patatesin işlenmesi ve saklanması,2013,27,91.27429993,97.84882478,0.370856881
"C - İmalat
      Manufacturing",1031,Patatesin işlenmesi ve saklanması,2014,21,83.45216457,97.45435584,0.327256734
"C - İmalat
      Manufacturing",1031,Patatesin işlenmesi ve saklanması,2015,26,83.61877359,96.63396139,0.344287407
"C - İmalat
      Manufacturing",1032,Sebze ve meyve suyu imalatı,2009,119,46.26314215,70.6705758,0.078671608
"C - İmalat
      Manufacturing",1032,Sebze ve meyve suyu imalatı,2010,110,46.17323667,64.30534318,0.074375717
"C - İmalat
      Manufacturing",1032,Sebze ve meyve suyu imalatı,2011,119,42.12286767,62.27078303,0.0689452
"C - İmalat
      Manufacturing",1032,Sebze ve meyve suyu imalatı,2012,132,48.36563402,66.67569013,0.076693917
"C - İmalat
      Manufacturing",1032,Sebze ve meyve suyu imalatı,2013,159,49.20101216,69.08873714,0.079649731
"C - İmalat
      Manufacturing",1032,Sebze ve meyve suyu imalatı,2014,180,44.04142213,64.81199133,0.068130512
"C - İmalat
      Manufacturing",1032,Sebze ve meyve suyu imalatı,2015,183,47.49364272,69.78550059,0.075738534
"C - İmalat
      Manufacturing",1039,Başka yerde sınıflandırılmamış meyve ve sebzelerin işlenmesi ve saklanması,2009,1424,15.85480766,22.96322121,0.012754169
"C - İmalat
      Manufacturing",1039,Başka yerde sınıflandırılmamış meyve ve sebzelerin işlenmesi ve saklanması,2010,1391,13.59901748,20.93907104,0.011580093
"C - İmalat
      Manufacturing",1039,Başka yerde sınıflandırılmamış meyve ve sebzelerin işlenmesi ve saklanması,2011,1402,14.93918293,21.50911519,0.012973726
"C - İmalat
      Manufacturing",1039,Başka yerde sınıflandırılmamış meyve ve sebzelerin işlenmesi ve saklanması,2012,1422,15.93378223,23.50786382,0.013472799
"C - İmalat
      Manufacturing",1039,Başka yerde sınıflandırılmamış meyve ve sebzelerin işlenmesi ve saklanması,2013,1490,15.02335461,22.04822426,0.012309267
"C - İmalat
      Manufacturing",1039,Başka yerde sınıflandırılmamış meyve ve sebzelerin işlenmesi ve saklanması,2014,1537,13.57766548,21.27320821,0.010320979
"C - İmalat
      Manufacturing",1039,Başka yerde sınıflandırılmamış meyve ve sebzelerin işlenmesi ve saklanması,2015,1553,17.18753782,24.10768921,0.013636213
"C - İmalat
      Manufacturing",1041,Sıvı ve katı yağ imalatı,2009,832,29.58470888,42.05827472,0.03271936
"C - İmalat
      Manufacturing",1041,Sıvı ve katı yağ imalatı,2010,792,28.64580519,42.06001508,0.032220751
"C - İmalat
      Manufacturing",1041,Sıvı ve katı yağ imalatı,2011,965,28.53584735,42.88812569,0.03258372
"C - İmalat
      Manufacturing",1041,Sıvı ve katı yağ imalatı,2012,938,24.9422984,39.25272984,0.027752299
"C - İmalat
      Manufacturing",1041,Sıvı ve katı yağ imalatı,2013,1167,24.50370692,38.37528585,0.026724367
"C - İmalat
      Manufacturing",1041,Sıvı ve katı yağ imalatı,2014,1270,21.11217835,34.91962902,0.022364079
"C - İmalat
      Manufacturing",1041,Sıvı ve katı yağ imalatı,2015,1292,22.037103,36.97867576,0.025948272
"C - İmalat
      Manufacturing",1042,Margarin ve benzeri yenilebilir katı yağların imalatı,2009,5,97.1866308,100,0.363314985
"C - İmalat
      Manufacturing",1042,Margarin ve benzeri yenilebilir katı yağların imalatı,2010,5,97.34773101,100,0.378483628
"C - İmalat
      Manufacturing",1042,Margarin ve benzeri yenilebilir katı yağların imalatı,2011,6,91.44037358,100,0.264692361
"C - İmalat
      Manufacturing",1042,Margarin ve benzeri yenilebilir katı yağların imalatı,2012,6,97.19290028,100,0.325929635
"C - İmalat
      Manufacturing",1042,Margarin ve benzeri yenilebilir katı yağların imalatı,2013,7,95.52198607,100,0.279533385
"C - İmalat
      Manufacturing",1042,Margarin ve benzeri yenilebilir katı yağların imalatı,2014,6,95.27048265,100,0.432339363
"C - İmalat
      Manufacturing",1042,Margarin ve benzeri yenilebilir katı yağların imalatı,2015,5,97.78463281,100,0.458353429
"C - İmalat
      Manufacturing",1051,Süthane işletmeciliği ve peynir imalatı,2009,1271,37.87994586,49.94113467,0.049980726
"C - İmalat
      Manufacturing",1051,Süthane işletmeciliği ve peynir imalatı,2010,1196,34.36816628,46.07086568,0.041369511
"C - İmalat
      Manufacturing",1051,Süthane işletmeciliği ve peynir imalatı,2011,1423,33.26585437,44.55323447,0.0388756
"C - İmalat
      Manufacturing",1051,Süthane işletmeciliği ve peynir imalatı,2012,1556,34.26308997,44.39721393,0.041306547
"C - İmalat
      Manufacturing",1051,Süthane işletmeciliği ve peynir imalatı,2013,1592,31.67726574,39.96541224,0.035534501
"C - İmalat
      Manufacturing",1051,Süthane işletmeciliği ve peynir imalatı,2014,1674,32.56896892,42.50371104,0.037659007
"C - İmalat
      Manufacturing",1051,Süthane işletmeciliği ve peynir imalatı,2015,1290,30.68285701,40.50582211,0.033906062
"C - İmalat
      Manufacturing",1052,Dondurma imalatı,2009,324,94.203091,97.30032468,0.607490272
"C - İmalat
      Manufacturing",1052,Dondurma imalatı,2010,330,93.88149489,96.59276079,0.564468632
"C - İmalat
      Manufacturing",1052,Dondurma imalatı,2011,366,96.10063545,98.34709454,0.589857097
"C - İmalat
      Manufacturing",1052,Dondurma imalatı,2012,423,95.19583803,97.21963873,0.532002641
"C - İmalat
      Manufacturing",1052,Dondurma imalatı,2013,519,89.72418002,94.56276867,0.278420711
"C - İmalat
      Manufacturing",1052,Dondurma imalatı,2014,539,84.12437709,87.98120717,0.37957756
"C - İmalat
      Manufacturing",1052,Dondurma imalatı,2015,267,89.40381878,95.40913751,0.280807144
"C - İmalat
      Manufacturing",1061,Öğütülmüş hububat ve sebze ürünleri imalatı,2009,4276,15.30736382,24.00085958,0.011655021
"C - İmalat
      Manufacturing",1061,Öğütülmüş hububat ve sebze ürünleri imalatı,2010,4309,8.77685251,14.88093464,0.005610148
"C - İmalat
      Manufacturing",1061,Öğütülmüş hububat ve sebze ürünleri imalatı,2011,3524,11.58051412,18.10044446,0.007306668
"C - İmalat
      Manufacturing",1061,Öğütülmüş hububat ve sebze ürünleri imalatı,2012,3495,10.81341707,17.37646924,0.007357386
"C - İmalat
      Manufacturing",1061,Öğütülmüş hububat ve sebze ürünleri imalatı,2013,3099,9.216707808,15.28616912,0.006153729
"C - İmalat
      Manufacturing",1061,Öğütülmüş hububat ve sebze ürünleri imalatı,2014,3124,8.330776099,14.45489673,0.006500342
"C - İmalat
      Manufacturing",1061,Öğütülmüş hububat ve sebze ürünleri imalatı,2015,3185,11.58806412,18.12915101,0.008577366
"C - İmalat
      Manufacturing",1062,Nişasta ve nişastalı ürünlerin imalatı,2009,12,84.9390985,99.5144249,0.219016081
"C - İmalat
      Manufacturing",1062,Nişasta ve nişastalı ürünlerin imalatı,2010,13,85.49901439,99.50793607,0.228373578
"C - İmalat
      Manufacturing",1062,Nişasta ve nişastalı ürünlerin imalatı,2011,12,83.33900882,99.29225313,0.204962013
"C - İmalat
      Manufacturing",1062,Nişasta ve nişastalı ürünlerin imalatı,2012,14,75.19637495,96.3069528,0.174629121
"C - İmalat
      Manufacturing",1062,Nişasta ve nişastalı ürünlerin imalatı,2013,18,65.68098575,93.73662571,0.138130605
"C - İmalat
      Manufacturing",1062,Nişasta ve nişastalı ürünlerin imalatı,2014,19,62.6537002,92.97820851,0.12966931
"C - İmalat
      Manufacturing",1062,Nişasta ve nişastalı ürünlerin imalatı,2015,19,62.6868816,94.26249467,0.138158114
